	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
Ask if Over 200 MB	Ask if Over 200 MB
Attributes that define how the audio should be played (e.g., shuffle, repeat mode)	Attributes that define how the audio should be played (e.g., shuffle, repeat mode)
Audio	Audio
Audio Activity	Audio Activity
Audio Entity	Audio Entity
AudioSource	AudioSource
Author	Author
Auto-Download	Download Episodes
Automatic Downloads	Automatic Downloads
Automatic_Downloads_Most_Recent	Most Recent
Automatically Created	Automatically Created
Automatically download newly added content.	Automatically download new episodes. Defaults can be changed in Settings.
Available Episodes	More Episodes
BEST_OF_THE_PODCAST	Best of the Podcast
BONUS_DOCUMENT	Bonus Document
BONUS_EPISODE	Bonus
BONUS_VIDEO	Bonus Video
BOOKMARKS_EMPTY_BROWSE_BUTTON	Browse Apple Podcasts
BOOKMARKS_EMPTY_SUBTITLE	Save episodes you want to listen to later, and they’ll show up here.
BOOKMARKS_EMPTY_TITLE	No Saved Episodes
Back	Back
Barbecuing	Barbecuing
Beach Day	Beach Day
CANCELLING_FEEDS	Cancelling…
CANCEL_ACTION	Cancel
CANCEL_TEXT	Cancel
CANNOT_BE_PLAYED_TITLE	This episode couldn’t be played. Please try again.
CANT_BE_PLAYED_ON_DEVICE	This episode can’t be played on this device.
CARPLAY_DISMISS	Dismiss
CARPLAY_EMPTY_STATION_EMPTY_STATE_SUBTITLE	New episodes from your station will appear here.
CARPLAY_EPISODES_WITH_FILTER_FORMAT	Episodes (%@)
CARPLAY_HOME_EMPTY_STATE_SUBTITLE	Podcasts you play will appear here.
CARPLAY_LIBRARY_EMPTY_STATE_SUBTITLE	Followed shows, saved episodes, and channel subscriptions will show up here.
CARPLAY_LISTEN_NOW_EMPTY_STATE_SUBTITLE	Podcasts you play will appear here.
CARPLAY_SPLASH_WELCOME	When you’re not driving, open Apple Podcasts on your iPhone and review the privacy information.
CARPLAY_TAB_NEW	New
CARPLAY_TAB_STATIONS	Stations
CATEGORY_SELECTION_DISMISS_ACCESSIBILITY_LABEL	Dismiss onboarding
CATEGORY_SELECTION_FOOTER_CAPTION	Favorites sync across devices using this Apple Account.
